"","F2","F3","Q38","surveyYear"
"30","I catch fish. Not too many fishermen in Ne.","Lower senior permit age to 65 not 69! park permits should be part of auto Licenseing, price of Lifetime permits should be lowered to $100.","Bullfrog rules suck! Who is the dipshit that came up with those?",2025
"31","We didn't fish in Nebraska in 2025. When we do any fishing we have to travel. Since we have to travel, we fish where we think we will catch the most fish, fewer people (hopefully no skiers or jet skis). We like quiet Lakes or rivers with fish & scenery.","In western NE there is not much you can do with low waterlevels. & few lakes. Stock more walleye, crappie & perch. fewer trout and pike",NA,2025
"32","Enjoyment","NA",NA,2025
"33","Harvesting the fish I catch to cook for my family","Make people follow the rules more! To many people litering an breaking the laws",NA,2025
"34",NA,NA,"I did not fish in 2025",2025
"35","Every thing",NA,NA,2025
"36","Every thing",NA,NA,2025
"37","Except for a few cement covered East coast states Nebraska offers the least fishing opportunitys. Iowa is Twice as good fishing, North Dakota, Kansas, Missouri are 10 Times better. Nebraskans that fish usually travel. Out of state people do not come here o fish. We lack quality waters, period. When I go to park with a body of water I think ""Why is there a fishing regulations sigh."" ""Nothing here but stunted carp.""",NA,NA,2025
"38",NA,NA,NA,2025
"39","Having stocked local lakes to fish","Improve lake quality where applicable",NA,2025
"40","Nothing - No Fish","restock often, fishing piers",NA,2025
"41","Diversity","Keep working hard",NA,2025
"42","its home","?","Lots of fishing pressure on public. First it was paid hunting. Now fishing too. Sad.",2025
"43","Not so many people","None",NA,2025
"44","Nebraska is my home state! I Love Nebraska and I'm a proud Nebraskan! Love coming back to spend time outdoors with friends and family! You guys and gals do a great job!","I need to get out in to the state more to explore more lakes, etc. as it's been a number of years since I've went further west into Nebraska to fish. I like checking out lakes in Nebraskaland Magazine. Need to get to save to camp/Fish.","I appreciate being able to come back and fish in Nebraska on my lifetime liscanse I bought before I moved into Iowa. They don't offer such an option until a person turns 65 yrs old. You're doing a great job so future generations can hunt/fish & trap acros the state.",2025
"45",NA,NA,NA,2025
"46",NA,NA,NA,2025
"47",NA,NA,NA,2025
"48",NA,NA,NA,2025
"49","Being outdoors","More places with better access",NA,2025
"50",NA,NA,NA,2025
"51","Usually the beautiful weather and scenery",NA,NA,2025
"52","I like the lean lakes and ponds I am able to go to with my family and friends, and that I can occassinnally catch a big fish.","n/a","I like all that Nebraska Game and Parks does!",2025
"53","It's fun to do w my husband!",NA,NA,2025
"54","Being outdoors","Having streams well stocked",NA,2025
"55",NA,"hAVE MORE ACCESS POINTS TO FISH OFF THE RIVER IN oMAHA.",NA,2025
"56",NA,NA,NA,2025
"57","Not to many People.","Put Perch in More Lakes",NA,2025
"58",NA,NA,NA,2025
"59",NA,NA,NA,2025
"60","variety of game fish and its my home state","stock more fish","i think the docks being built are very nice. more lakes like the danish alps would be great.",2025
"61",NA,NA,NA,2025
"62","clean","- Stock lakes, ponds, & rivers more frequently - Provide more small public secret ponds *Provide fish hatchery for youth","- Keep up on keeping the lakes clean",2025
"63","Getting away","Create more lakes or ponds for fishing in S. Central NE. It is closer for us to fish in Kansas than to fish in NE.",NA,2025
"64","The quality of fish in farm ponds",NA,NA,2025
"65","Enjoyable","I have pretty good luck now","Keep up the good work",2025
"66",NA,NA,NA,2025
"67",NA,NA,NA,2025
"68","I like that there is not as many people here fishing in Nebraska and wherever you go, it usually is not very packed. I also like that there is a fair amount of species to fish for.","try to raise water levels in all of the low bodies of water.","Wagon Train lake in Hickman, Nebraska, is drained and has been worked on while drained. It has been drained for about 3 years and it has made almost no progress in filling up. It would be nice if almost anything was done to try to help this problem. I woud love to fish there again.",2025
"69","catching a batch of fish for a fish fry","Manage gate open @ Gavin Point to consider bow fishing of Asian Carp","Love the stocking program at Ponca State Park excellent program - My 94 year old father & youngest grandkid can enjoy catching trout - Thanks",2025
"70",NA,NA,NA,2025
"71","Being with family outdoors.","Fill Harlen! This ridiculous what has been done to this lake. Better conditions at Sherman.",NA,2025
"72",NA,NA,NA,2025
"73",NA,NA,NA,2025
"74","Not much 99% of my fishing is in Kansas where the water quality is much Better","Water Qualty","Improve water Quality and you will get Better fishing",2025
"75","I live here. If I want good quality/quantity I go to South dakota","mimic south dakota. stock more walleye & crappie leave the trout","mimic South Dakota!!!!",2025
"76","There some good places to take a kid or two to catch catfish.","Too many invasive carp. Too much Algae need more damns in creeks","Caught almost 35"" spoonbill off handicap dock after 4 hrs of snagging 6 carp first. appreciate the dock. It was the only spoonbill I caught. Couldn't get one last year. So scarce.",2025
"77","It's close",NA,NA,2025
"78",NA,NA,"I haven't fished since Elementry school. My Dad fishes all the time I just don't",2025
"79",NA,"0",NA,2025
"80","I used to like how few out of state people I encountered no it like a zoo at all the lakes I go to. Canoing Fee's have gotten out of hand and all the reserve only places are sold out a year in advance and locals can't ever go when they get a chance unlessyou can Plan a year in advance.","Make out of state fee's higher",NA,2025
"81","I like to be on the water I think some kind of yearly quota would be nice for people who do not get to fish alot. People who have cabins catch alot of fish - People who drive suffer","in #36","in #36",2025
"82",NA,NA,NA,2025
"83",NA,NA,NA,2025
"84","Going to Old haunts with Old friends & family","Keep up the Good work",NA,2025
"85","Going to Old haunts with Old friends & family","Keep up the Good work",NA,2025
"86",NA,NA,NA,2025
"87",NA,NA,NA,2025
"88","Opportunities to fish where there isn't alot of people. I am from western NE though.",NA,"It seems, at least to, me., my home lake the population studies don't seem to match what I'm catching and what I see other people catching. Maybe I'm not as good a fisherman as I think. My favorite lake is Winters Creek, I used to have tremendous bass fising as well as great perch. Why all the walleye? Lake Minatare is just across the road. Just asking, not a fisheries guy.",2025
"89",NA,NA,NA,2025
"90","Usually don't fish nebraska",NA,NA,2025
"91","Small mouth",NA,NA,2025
"92","It’s closer","Stock more","Other states have better fishing",2025
"93","I am happy with the opportunities we have in the panhandle. Nice places to gather the family",NA,NA,2025
"94","The fact that their are no 'seasons' for every species of fish.","More opportunities for trophy fish.","Bring back the master Angler certificate and pin.",2025
"95",NA,NA,NA,2025
"96","That I live here. Don't have to travel","Raise the limit on channel cat.",NA,2025
"97","The variety of fishing experiences I fish Platte River Sand Pits & Streams (Long Pine) Snake River & Love it all.","Here's a pet peeve, I fish Pine Creek Long Pine S.R.A. 3 or 4 times a year North & South of Hwy 20. Under the Highway Bridge.","I wear waders & move along the Bank. I wish someone would fire up a Bushcutter & cut paths thru the high brush. Cut access points along the Bank for Fishers & Tubers Nothing wide or manicured, just so every step off the creek isn't Indiana Jones-Style Buswacking. any questions, give me a holler",2025
"98","I like to fish open water.","I think more walleye need put into all the bodies of water and less largemouth bass and bluegill.",NA,2025
"99","many public access waterways","The Feds should've left Sandhills lakes alone. place guidelines specific for each lake - limitations, size regs, etc. S.D. does this well for trophy lakes.",NA,2025
"100","The variety of fish species available in NE lakes and rivers.","Continue to improve water clarity in lakes",NA,2025
"101","Access to Public waters","None","The price of a Park Permit to ENTER the Minimum Maintenance Riverview Park & Boat Ramp on the Missouri River in Nebraska City is totally Unjustified",2025
"102","Not a trip 100's of miles away","Stop Bleu LG in the water","Try to create more waters for fishing only",2025
"103",NA,NA,NA,2025
"104","Have private fishing for trophy fish on Mo.","Spend liscence & fees on improving fishing and not park improvements - ie camper pads","If you like good fishing - move to another state. G & Ps waste more money than most NE govermental divisions - I Know - I used to work their div. The G & P's commision is politically corrupt by appt! No change in 50 yrs!?!",2025
"105","thank you",NA,NA,2025
"106","Less people Ice fishing.","Turn less pike into lake oliver. They are taking over. If you only put in tiger muskie the numbers are controlled.","The out of state park sticker is priced too high. the out of state AIS sticker is priced too High.",2025
"107","Being outdoors and enjoying nature and the challenge of catching fish.","Nebr. water law should be based on a philosophy of sustained yield management for both ground & surface water. Also, it should re-cognize fish & wildlife as a valuable user of water. An allowance for perennial minimum instream flows for streams/creeks/rivrs should also be recognized. The depletion of public water resources threatens our fisheries resource and thus the right to fish as granted","In our state constitution.",2025
"108","Big Mac","Stock more fish",NA,2025
"109",NA,NA,"I did not fish in Nebraska in 2025",2025
"110",NA,NA,NA,2025
"111",NA,NA,"I buy the Lic. for Federal $",2025
"112","There is always something to catch regardless of the time of year. Various smaller lakes on the eastern side of the state offer a variety of options for anglers.","*The presence & visibility of law enforcement/NG&P conservation officers are the greatest deterent to those not following current regulations. However, they cannot be everywhere at once *Designation of lakes to be catch & release only by year or by season(open water v. ice) to prevent over-harvest.","We apreciate the opportunity to give feedback and the efforts you are making to manage the fisheries across Nebraska. *Confusion in regards to line bait (minnows) is the big one for us. *Efforts to ""Big Back"" walleyes at Cunningham Lake have been a succes. Hopefully, similar success at Branched Oak will happen. *Are there other options than draining metro lakes when zebra mussels (evasive species) show up? *Davis Creek walleye population experienced a significant walleye decline. how this be prevented in he future? *I would be curious about harvest rates (keeping fish) with open water & ice fishing.",2025
"113","Sometimes you can still find a spot that isn't too crowded.","Outlaw Colorado People",NA,2025
"114","low population of people",NA,"I think NE has good opps for fishing. I have more time in the fall and prioritize hunting. This may change once my kids are out of the house.  d",2025
"115",NA,"less bass stockings",NA,2025
"116",NA,"Make certain lakes Trophy lakes - CATCH & Release only","Try to follow what South Dakota is doing for it's fishing & facilities.",2025
"117","Catching fish, which has been poor in western Nebraska for a decade now.","Better manage and stock the fisheries in western Nebraska","See previous responses",2025
"118",NA,NA,NA,2025
"119",NA,NA,NA,2025
"120",NA,NA,NA,2025
"121","Scenery.","I'm disappointed by all the trash at lakes & parks, so eliminating trash would enhance the experience.","I used to fish 50-100 days per year, but I don't have the time now, plus water levels have been bad at many lakes that I fished in the past. I appreciate the work of NGPC!!!",2025
"122","Coming home",NA,NA,2025
"123","relaxing","NONE",NA,2025
"124","relaxing","NONE",NA,2025
"125","Just to be outdoors, but of course our environment doesn't support the same opportunities that others states have. It's just nice to have somewhere to go that I don't have to travel minimum of 4hrs","Promotions to get younger people interested in the activity.",NA,2025
"126",NA,NA,NA,2025
"127",NA,NA,NA,2025
"128",NA,NA,NA,2025
"129","Diversity of Species. Public Access Treuton Hate! -> Irrigation Lakes! Endus Lac Mac Harleu, McCook Cambridge","Get rid of irrigation form the lakes -> Farmers have Pivots!","Diversion Damms & Irrigation - lakes are a thing of the past! Stop it!",2025
"130","The opportunity to fish!",NA,NA,2025
"131","Local",NA,NA,2025
"132",NA,NA,NA,2025
"133",NA,NA,NA,2025
"134","Clean sand pit lakes and reservoirs","Better access to quality fishing opportunities in eastern NE",NA,2025
"135","Variety","Keep Stocking Keep Working on Evasive Species",NA,2025
"136","Variety","Keep Stocking Keep Working on Evasive Species",NA,2025
"137","Lower competition for fishing sites.","Partial seasonal fishing periods (Lake closed to fishing for part of the year).",NA,2025
"138",NA,NA,NA,2025
"139",NA,NA,NA,2025
"140",NA,NA,NA,2025
"141","Close to home","Reduce walleye limits at Lake McConaughy to preserve fishery",NA,2025
"142","Nice lakes. My home state. Good memories. Time with grandchildren on the water. Mix with boating and lake life. Did not get out last summer owing to health challenges.",NA,"Love the good life in Nebraska. Always great to get back for a visit.",2025
"143",NA,"I wouldn't mind putting a 10"" minimum length limit statewide on crappies.",NA,2025
"144",NA,"MORE STRUCTURE! (smiley face) They used to call me the ""Flippin Fool"". I'm sorry I don't have time to fill this out!","A ($45K back then) 1998 Ranger 518 DVS Comanche sitting in garage. My chevy truck license ?HA HA! plate is TRFY.HNT B I havn't fished since 2013? 2015? My wife fell down, on her face. Now she can't walk. Now I'm her nurse 24/7. If I don't have time to fis, I'm sorry - But I don't have time to fill this out properly. I wish I could. Sorry!",2025
"145","Close to home own the ground I fish on",NA,NA,2025
"146","Being on the water",NA,NA,2025
"147","With my Disabled Vet permit allows me to do it with no cost to me","Lake Mcconaughy seems to have a lot of people not paying for camping & fishing. Lake Ogalalla as well. Tent campers & pull in people fish a lot without license and fish extensively.",NA,2025
"148","When you get away from cities, Nebraska lakes are not as crowded. The on water experience is better when they are not crowded. I've fished in many states but I'm getting older and not fishing as much.","I'm not an expert but South Dakota seems to manage the Walleye in a way that I'm usually successful if the weather cooperates. However S.D. fishing licenses are becoming more expensive, I'm sure you analize other states programs.","This may not be relevant but we have wintered in Texas some years. They sell a park pass and issue a card that you show when you enter the park. They give you a paper reciept at the gate to put on your dash. With that pass you are allowed to fish on theirdocks or shoreline with no fishing license. You can't wade or fish from a boat. The card I believe is same price for residents or non residents. Something like that may be a way to increase non resident usage of our lakes.",2025
"149","I don't have to travel and I already have a life-time permit.","Figure out haw to control the illegal taking of small fish. Not enough enforcement.","There are many people (sometimes from other countries, or other ethnic groups) who keep every fish they catch, regardless of size or regulations. I see it nearly every time I fish a public lake. I've even heard game wardens/conservation officers comment o not being able to enforce rules because of language barriers & too many anglers not following regulations. Catch & release lakes may discourage some from fishing there, so others would have the opportunity to catch larger fish.",2025
"150","time out of the city","more transplant of fish into lakes",NA,2025
"151","Big Catfish in rivers","Stock state park lakes. Stock the rivers Buy fish from hatchery to do so!","Bring more fish to our lakes & rivers low water levels cut the numbers",2025
"152","Catching fish","More stocking. Limits on number of fish kept. More public access to waters.",NA,2025
"153","Having Reservoirs & canal systems close by that during most times of the year you can go to and catch fish",NA,"adjusting the Walleye Lenght Limits and better management of the wiper/white bass Length - possession Limits at Harlan Reservoir",2025
"154","being outdoors","The north platte river in western nebraska would be great if there was more fish. better management to create a better fishing stock",NA,2025
"155","Rock Creek SRA",NA,NA,2025
"156","EVERYTHING","WATER LEVEL MGMT DEPTH/SILTING",NA,2025
"157","being with family","N/A","Just like fishing with the kids.",2025
"158","Spending time outdoors w/ loved ones",NA,NA,2025
"159","I like Harlan county Revoir the best for fishing","seemed like fishing at Pawnee + Branched Oak was better in the 90s, these are closest to my residence, (I think the Aisans keep everything)","I wish all the lakes fishing was as good as Harlan county wiper, white bass, walley fishing exclent there",2025
"160","Walleye","Make 30"" length limit for channel catfish higher in Merritt Reservoir",NA,2025
"161",NA,NA,NA,2025
"162",NA,NA,NA,2025
"163",NA,NA,NA,2025
"164",NA,NA,NA,2025
"165","There are multiple fishing locations in a 50 mile or less radius","I am frustrated with the size requirement to keep bass. The 21 inch limit is a trophy sized bass. I think a slot limit such as release under 15 inches, 2 allowed 15 to 20 inches and only 1 fish 21 inches or bigger. A total of 4 or 5 bass would be great. Ipersonally enjoy catching and eating bass.","My above comments refer specifically to the Omaha area. In all my years of fishing in the Omaha area, I have caugh only one 21 inch bass, but a number of smaller. Bass caught in private ponds in Iowa 15 inches plus are excellent eating.",2025
"166","We have an opportunity to catch a variety","Decrease the limit of Panfish","appreciate the work the game commission does.",2025
"167","We have an opportunity to catch a variety","Decrease the limit of Panfish","appreciate the work the game commission does.",2025
"168","I no longer live in Nebraska",NA,"I no longer live in Nebraska",2025
"169","It is close to home.","Stock trout as you did in the 60's and 70's in cold water fisheries. The trout did not hurt the dace population.","Have the state manage the Valentine National Refuge lakes the way the Feds did previously. Those lakes did better without crappie and saugeye.",2025
"170","It is close to home.","Stock trout as you did in the 60's and 70's in cold water fisheries. The trout did not hurt the dace population.","Have the state manage the Valentine National Refuge lakes the way the Feds did previously. Those lakes did better without crappie and saugeye.",2025
"171","Born & Raised in Nebraska. I Love being able to see the entire state through hunting and fishing. The diversity of landscapes in Nebraska can be amazing. Plus Nebraskans People are #1 in the Country. I just love being able to travel the state, having thatopportunity is PARAMOUNT to me.","I am hoping the reservoir proposed to be built between Omaha & Lincoln will be DEEP and completed before I cant fish anymore!!! Eastern Nebraska NEEDS a Large deep reservoir As it stands. I do have to travel quite a distance to find water over 30 ft deep,Plus to other states.","the #1 species I fish for is Walleye, and Crappies. Smallmouth is also a favorite. I Know the Missouri holds those species and many more, but the river is so polluted its disgusting. SAD really. Plus Lake Wannahoo has been ruined since the flood. I dont mnd spending the money on Park Passes but the lakes need more upkeep. Also, I think camping reservations are just Wrong. It has literally kept us from the opportunity to Camp in our own State, but has allowed out of staters the opportunity that Should haveserved us. And Camping fees are too high. The money collected from Sportsmen should go back into our parks and rec, not Spread out in to every other sector of our economy. Iowa does it, and thier facilities are amazing... Something to think about. That Beng said, Thank You for the Jobs youre doing. I feed my family with game & fish!",2025
"172","Spending time with my son","Attempt to stock different species",NA,2025
"173","not a lot of fishing pressure, wide open spaces","More game checks to many fish taken on Rivers were access to anglers is difficult.","Thank you for the opportunily to contribute!",2025
"174",NA,NA,NA,2025
"175","There is a decent lake close to me.  There are a lot of little ones, with occasionally really nice ones.  I am in favor of limited harvesting to keep quality fishing.","Keep water clean and healthy and keep limits in place to encourage larger fish.  Encourage catch and release, especially to produce larger fish.  Sometimes there are too many little ones that harvesting is beneficial.

Prosecute the greedy farmers farming sand bars on the Missouri River, specifically northwest of the corps of engineers ground by yankton SD, where the all the chemicals go directly into the water supply.  This land is not meant for farming.",NA,2025
"176",NA,NA,NA,2025
"177",NA,"more public water",NA,2025
"178",NA,NA,NA,2025
"179","Around family and friends.  Enjoy the challenges, and the fish fry...


Is never a bad outcome.😁","I have small river access.  Many people don't have the access that I have.

In Northwest Missouri, many river bridge crossings have a conservation pull-off driveway.  Fishing on many in Missouri is limited for catfish...  But some are better, and also allow many a way to get their Float/Canoe to the river.","Nothing, but as I provided text prior, review.",2025
"180","Its Nebraska","More investment in access (bank access, dock access)and additional stocking.",NA,2025
"181",NA,"Hard to say. I'm sure some areas are Fine. Omaha Metro area lakes are way to busy. Unfortunately NE just doesnt have enough lakes.","We would love to see a primitive launch for Kayaks & small boats on the NORTH end of Flanagan lake.",2025
"182","Being in the oudoors",NA,NA,2025
"183",NA,"Regulate Non-Resident fishing at Lake Mac. Too Many of our neighbors to the South are rude & sometimes confrontational. TOO Many crowds.",NA,2025
"184","Spending time with my family while doing so",NA,NA,2025
"185","Freedom","More walleye",NA,2025
"186","All the different species, lot of choices where to go.",NA,NA,2025
"187",NA,NA,NA,2025
"188","Many different varieties of fish to catch","Would like to see more crappie in the western part",NA,2025
"189","The opportunity to get out and do it.",NA,NA,2025
"190","being outside","react to water levels changing",NA,2025
"191","Close",NA,NA,2025
"192","Being on the water & relaxing.","More lakes!",NA,2025
"193",NA,NA,NA,2025
"194",NA,"More stocking of lakes.",NA,2025
"195","The Sunset (smiley face)","3poles Castnets",NA,2025
"196","Just getting outdoors. Since the 1960's The fisheries Have steadily declined. What has happened to the perch, Crappie, White bass and walleye? Kids now days play soccer and fishing is something their elders talk about!!","Become partners with the power districts and create better fish habitats.","The fisheries have steadily declines since the 1950s. More regulations won't bring back the fisheries of the past. Innovations in strong and healthy fisheries are a must. I didn't fish this year because the power district at jeffrey reservoir in Lincoln Cunty was constantly messing with the water level. why??",2025
"197","The variety of lakes and ponds in the state. There is the opportunity to fish wherever you go.","Better control of water usage of the states lakes and rivers.","You need to start spending time and money on the lakes and streams out west other than Lake Mac and back east.",2025
"198","just getting out and enjoying outdoor ne.","you're doing a good job. keep it up!",NA,2025
"199","Being outside and the variety of public spots. Also the docks that have been added to interstate lakes are nice.","Quit stocking everything with trout there a pain if you don't wanna catch them and they swallow the hook everytime",NA,2025
"200",NA,NA,NA,2025
"201","they have all different kinds of fishing available in nebraska.","More public areas to fish in northeast nebraska",NA,2025
"202",NA,NA,NA,2025
"203","Relax","Dna",NA,2025
"204",NA,NA,NA,2025
"205",NA,NA,"reserve camping has the worst effect on fishing.",2025
"206","I like that I have so many opportunities to fish close to me.  Also, there are some fisheries where my young sons can catch many smaller fish.  Then there are others, close by, where I can catch trophy-class fish.","I know there is not much you guys can do about it based on budget.  I witness many anglers keep illegal fish (undersized or over limit).  I let them know that I believe that they are breaking regulations.  If they do not rectify, I notify a conservation officer.  Oftentimes, the offender has left prior to the CO's arrival.",NA,2025
"207","Convenience",NA,NA,2025
"208","Easy access where I live","More user friendly areas","None",2025
"209","Lots of places. Different Species","Limit catches in heavily fished areas.","Should help Landowners of ponds Stock fish!",2025
"210","You can camp & Fish at the same time. Friendly people, water in most place is easy to get to & clean, plenty of bait fish in the lakes you fish in, you can fish from shore, don't need AT A Boat","Should be a rule you bring it in take it out & more. Less larger rocks in some places, small rock to protect shore line ok, it's hard to put kychake in the water.","I wish I could Back to some of the specail spot my Dad & I went to again, & show my grand kids great grand kid, but some person have made for that can not be done now, Ive alway been told to take trash out with you, leave the Area Better Than it was Befor, now you need AT Truck to do that.",2025
"211","peaceful","more handicap accessible places",NA,2025
"212",NA,NA,NA,2025
"213","Uncrowded water to fish, can usually catch a few fish for dinner","Improve fishing habitat in lakes. Try to maintain water levels.",NA,2025
"214","many different water bodies",NA,NA,2025
"215",NA,NA,NA,2025
"216",NA,NA,NA,2025
"217","The differnt variety of fish to catch","Quit killing of lakes, people can find enjoyment catching any type of fish, even the trash fish (carp)","As someone who enjoys bowfishing for carp the killing off of the lakes to control them is not needed.",2025
"218",NA,NA,NA,2025
"219","Fish that taste good. I tend to catch more fish in NE than in other states.","Need to do something about too many small white perch in Branched Oak.","I appreciate the service that Game & Parks provides in NE.",2025
"220","Being outside in nature. Relaxing with pole in water waiting for a bite. Getting away.",NA,NA,2025
"221",NA,NA,NA,2025
"222","The beautiful state, sandhills, kind people.",NA,NA,2025
"223",NA,"The state needs to get something figured out with daily and poesin limit on private ponds that landowners fish and decide who fish those ponds. In Iowa private ponds have different limit. I agree that all state owned and managed pond need more regulation,not","the private ones that the landowner own and work and keep up.",2025
"224","I like fishing for walleye, crappie, and perch with my family and having fish frys afterward.","More weather protected boat ramps","Stock walleye, crappie, and perch in all lakes. The majority of anglers in Nebraska will approve.",2025
"225","Being with family & friends. Fish fries after",NA,NA,2025
"226",NA,NA,NA,2025
"227",NA,NA,NA,2025
"228",NA,"The state needs to improve angler success. Whatever that takes?",NA,2025
"229","PEACEFUL PAST TIME",NA,NA,2025
"230","Nit having to travel far","Improve fish numbers",NA,2025
"231","outdoors","More regulations on fanfish","We need more reservoir's in Nebraska",2025
"232","The variety of watchable fish.","I can not think of anything right now.","Keep up the great work.",2025
"233","Just being in the outdoors, and relaxing from every day life. Thank you game & Parks",NA,NA,2025
"234",NA,NA,NA,2025
"235",NA,NA,NA,2025
"236","There are many options to go fishing at.","None",NA,2025
"237",NA,NA,NA,2025
"238",NA,NA,NA,2025
"239","No much","cleaner waters",NA,2025
"240",NA,NA,NA,2025
"241",NA,NA,NA,2025
"242",NA,NA,NA,2025
"243",NA,NA,NA,2025
"244","Most lakes have nice facilitys & cleaning stations",NA,NA,2025
"245","I love panfishing. I can usually catch at least some fish although you have to weed through so many tiny ones.","8 inch minimum on Blue Gills, and Perch. 10"" minimum on crappie.","Clarify the regulations on seining bait in the east. Most people don't know the difference in a creek and stream. Also makes no sense to be able to keep sunfish but not other panfish.",2025
"246","Nice urban Lakes",NA,"I do not eat the fish I catch I am concerned with too many contaminants that are retained with the fish meat.",2025
"247",NA,NA,NA,2025
"248","Nebraska?? umm no more Like SD.","more Walleye In the North East part of the state",NA,2025
"249",NA,NA,NA,2025
"250","many places to fish",NA,"Disappointed in the walleye fishing at Lake McConaughy live close to lake and have to travel to surrounding lakes to catch walleye. use to be best walleye fishing in the state?",2025
"251","So many species to catch","dredge silt out to make some reservoirs deeper",NA,2025
"252",NA,NA,NA,2025
"253",NA,NA,"I normally don't fill out surveys! However this particular survey is of much intrest to me!",2025
"254","The lakes that have trophy fish.","Have differen't regulations at differen't lakes to produce trophy fish.",NA,2025
"255","GETTING ON THE WATER, CATCHING FOOD FOR MY FRIENDS AND FAMILY","NONE","N/A",2025
"256","It's fun and a chance to be outdoors with friends and family.",NA,NA,2025
"257",NA,NA,"Thanks for asking",2025
"258",NA,NA,"I am very active in farming and ranching and have very little to waste my time trying to catch fish. The only time I go is with grandkids they fish for about 5 minutes then they are done. exploring is more fun for them.",2025
"259",NA,NA,NA,2025
"260","Lakes",NA,NA,2025
"261","I can do it with my family without having to spend a lot of money to travel.","Open access to private ponds. Create a mobile reporting app or tool for anglers to generate live reporting of where the fish are biting. Focus more on a trophy bass lake or catfish lake rather than average across multiple species type lakes.","It’s difficult for older people to fish because of the rocks on the shoreline. It would be nice if there were more places where angler access were easier for older and younger anglers alike.",2025
"262","A variety of species and water bodies.","Simplied regulations","Nothing else comes to mind.",2025
"263","A variety of species and water bodies.","Simplied regulations","Nothing else comes to mind.",2025
"264",NA,NA,NA,2025
"265","Can't think of any.","Lower the fishing license fees & park permits. It costs too much to fish anymore.",NA,2025
"266",NA,NA,"- What is not asked in this survey is fish stocking. Game & parks Stocking Policy needs work - Also not addressed is maintenance of Parks -  - Cleaning stations not open until late May - really? - Poor Maintenance of docks, Ramps & Cleaning Stations especally in western Nebraska.",2025
"267","That there are many Lakes and ponds available close by I also like that all anglers have an opportunity to catch fish","I think that we could post at fishing sites which baits tend to be best to catch fish and for which fish.",NA,2025
"268","Going with my kids","Study Iowa","I’d like to see a larger reservoir closer to eastern Nebraska than Lake McConaughy",2025
"269","I Just Like to Fish - my husband & I are old. It is something we can do together. If we catch enough Fish For dinner, we are Happy.","Stop Covering our Lake.","The fishing @ Lake Maloney was not good at all this year. We caught a few fish in early Spring & then there were none to be had",2025
"270","Taking my grandchildren fishing.",NA,NA,2025
"271","If I go during The Week not much pressure","Really the drought & fishing Pressure is Something we have No control over","I would love To see More land owners Take interest in building more waterways or ponds I would even pay a few for better Fishing",2025
"272","Just to be able to go fishing!!","To stock more fish in our Lakes and reservoirs - Walley and crappie","Getting old ain't no good!",2025
"273","Its close to home","Get rid of the 21 inch minimum on bass, stock yellow perch instead of bluegill, get rid of all the entry permits like state sticker, nrd north, nrd south, etc. Its ridiculous. It costs me less to fish in iowa, kansas, so dak then it costs as a resident in nebraska.","Allow a bass pass for tournaments where tournament directors are allowed to do in person weigh ins at any lake. The 21 inch minimum isnt realistic.",2025
